species,year,val
Caprimulgus macrurus,1971,7.18842267990112
Carpodacus roborowskii,1971,1.04110395908356
Carpodacus vinaceus,1971,5.33441877365112
Cecropis daurica,1971,4.32877349853516
Centropus bengalensis,1971,6.65544652938843
Cephalopyrus flammiceps,1971,4.83932971954346
Certhia familiaris,1971,3.09869384765625
Certhia himalayana,1971,4.40822124481201
Certhia tianquanensis,1971,4.11579370498657
Ceryle rudis,1971,6.40466356277466
Cettia brunnifrons,1971,4.32996940612793
Cettia castaneocoronata,1971,5.02186012268066
Chalcophaps indica,1971,7.05135154724121
Charadrius atrifrons,1971,2.04254341125488
Charadrius dealbatus,1971,7.54647254943848
Charadrius placidus,1971,3.75277328491211
Charadrius veredus,1971,2.40155696868897
Chlidonias leucopterus,1971,2.95737671852112
Chlidonias niger,1971,2.84028482437134
Chloris ambigua,1971,5.38865566253662
Chloris sinica,1971,4.56430387496948
Chrysolophus pictus,1971,5.16094970703125
Ciconia boyciana,1971,2.99625110626221
Ciconia nigra,1971,3.49852633476257
Circaetus gallicus,1971,3.60907983779907
Circus macrourus,1971,2.66535711288452
Circus spilonotus,1971,2.44971632957459
Cisticola exilis,1971,6.57102108001709
Cisticola juncidis,1971,5.99401807785034
Clamator coromandus,1971,6.16578817367554
Clanga clanga,1971,2.54961133003235
Columba oenas,1971,2.63058733940125
Copsychus saularis,1971,6.09162950515747
Coracias garrulus,1971,2.55935215950012
Coturnicops exquisitus,1971,2.15692782402039
Crex crex,1971,2.54847526550293
Crossoptilon mantchuricum,1971,3.99635171890259
Curruca curruca,1971,3.28021216392517
Cyanistes cyanus,1971,2.33901071548462
Cyanoderma pyrrhops,1971,4.80021238327026
Cygnus cygnus,1971,2.56690883636475
Cygnus olor,1971,2.75225138664246
Cyornis glaucicomans,1971,5.86274194717407
Cyornis hainanus,1971,7.30496549606323
Cyornis rubeculoides,1971,6.18992710113525
Delichon dasypus,1971,3.80730700492859
Dendrocitta formosae,1971,6.28794717788696
Dendrocopos hyperythrus,1971,4.09079074859619
Dendrocygna javanica,1971,6.50047588348389
Dicaeum cruentatum,1971,6.6863865852356
Dicaeum ignipectus,1971,5.92505407333374
Dicaeum minullum,1971,5.71575450897217
Dicrurus annectens,1971,6.87539291381836
Dicrurus hottentottus,1971,5.74992179870606
Dicrurus remifer,1971,6.3142671585083
