unit_id,share,n_species,province,unit_nm,prov_cn,rank_in_prov
150826,0.00944745977371616,183,Inner Mongolia,杭锦后旗,内蒙古自治区,51
150902,0.00648376200994903,183,Inner Mongolia,集宁区,内蒙古自治区,94
150921,0.0112641984017432,183,Inner Mongolia,卓资县,内蒙古自治区,28
150922,0.00859853017178936,183,Inner Mongolia,化德县,内蒙古自治区,65
150923,0.00559440454918466,183,Inner Mongolia,商都县,内蒙古自治区,98
150924,0.00872111159582175,183,Inner Mongolia,兴和县,内蒙古自治区,62
150925,0.00885328398190862,183,Inner Mongolia,凉城县,内蒙古自治区,58
150926,0.00638523287000923,183,Inner Mongolia,察哈尔右翼前旗,内蒙古自治区,95
150927,0.0068925659436589,183,Inner Mongolia,察哈尔右翼中旗,内蒙古自治区,89
150928,0.00802369352856913,183,Inner Mongolia,察哈尔右翼后旗,内蒙古自治区,73
150929,0.00812251902461257,183,Inner Mongolia,四子王旗,内蒙古自治区,71
150981,0.00651871972877816,183,Inner Mongolia,丰镇市,内蒙古自治区,93
152201,0.012403786967113,183,Inner Mongolia,乌兰浩特市,内蒙古自治区,17
152202,0.0114759821475596,183,Inner Mongolia,阿尔山市,内蒙古自治区,26
152221,0.010348820002021,183,Inner Mongolia,科尔沁右翼前旗,内蒙古自治区,40
152222,0.0127304598749353,183,Inner Mongolia,科尔沁右翼中旗,内蒙古自治区,14
152223,0.0108597528004497,183,Inner Mongolia,扎赉特旗,内蒙古自治区,33
152224,0.00757853481504474,183,Inner Mongolia,突泉县,内蒙古自治区,80
152501,0.0101069166483949,183,Inner Mongolia,二连浩特市,内蒙古自治区,45
152502,0.0118995300861469,183,Inner Mongolia,锡林浩特市,内蒙古自治区,24
152522,0.00849583075646109,183,Inner Mongolia,阿巴嘎旗,内蒙古自治区,67
152523,0.00868237826949095,183,Inner Mongolia,苏尼特左旗,内蒙古自治区,63
152524,0.00863519741238291,183,Inner Mongolia,苏尼特右旗,内蒙古自治区,64
152525,0.00795362371712953,183,Inner Mongolia,东乌珠穆沁旗,内蒙古自治区,74
152526,0.0101381500497949,183,Inner Mongolia,西乌珠穆沁旗,内蒙古自治区,44
152527,0.00483664944223904,183,Inner Mongolia,太仆寺旗,内蒙古自治区,102
152528,0.00461985296574375,183,Inner Mongolia,镶黄旗,内蒙古自治区,103
152529,0.00499661758657924,183,Inner Mongolia,正镶白旗,内蒙古自治区,100
152530,0.00804921739366623,183,Inner Mongolia,正蓝旗,内蒙古自治区,72
152531,0.00746231799232334,183,Inner Mongolia,多伦县,内蒙古自治区,83
