grid_id,province,warm_trend_dec,warm_delta_c,tmean_1980_2000,tmean_2002_2024
47,Guangxi,0.190469942859354,0.396273289819352,22.2595241675301,22.6557974573495
48,Guangxi,0.197178321707705,0.408074555518787,22.0738098583524,22.4818844138712
49,Guangxi,0.194071142936308,0.391649420299224,22.2710320798178,22.662681500117
50,Guangxi,0.192369352478075,0.372739841725764,22.2301590669723,22.602898908698
51,Guangxi,0.235265720503133,0.4778468107009,21.6297622332497,22.1076090439506
52,Guangxi,0.209167746215941,0.435869520330858,21.9916670398107,22.4275365601415
53,Guangxi,0.258168642071709,0.518564515643654,22.3865082528856,22.9050727685293
54,Guangdong,0.257992964750013,0.520082798721543,21.1107146323673,21.6307974310889
55,Guangdong,0.262516454274475,0.516908188372991,22.1138892703586,22.6307974587316
56,Guangdong,0.235946398531076,0.467822610303561,22.0575400609819,22.5253626712854
57,Guangdong,0.241490997030485,0.482677709982269,22.5158733753931,22.9985510853754
58,Guangdong,0.251339462068346,0.509126930585641,22.7742067026714,23.283333633257
59,Yunnan,0.237132212756546,0.572377551087349,18.3051590843806,18.877536635468
60,Yunnan,0.259925360317339,0.632712281268578,19.5821431477865,20.214855429055
61,Yunnan,0.273243312517382,0.680538316691141,19.798809834889,20.4793481515802
62,Yunnan,0.245026336514116,0.582298100776225,18.778571745706,19.3608698464822
63,Yunnan,0.246332908859891,0.588647361292026,19.6055559014517,20.1942032627437
64,Yunnan,0.255544601012386,0.590735096862357,20.0857145786285,20.6764496754909
65,Yunnan,0.264898997312267,0.611835733621675,19.5888892620329,20.2007249956546
66,Yunnan,0.261572244034349,0.60227744195937,20.4738098704626,21.0760873124219
67,Yunnan,0.252602099639362,0.582815712118578,22.5476194298457,23.1304351419642
68,Yunnan,0.249989003532018,0.576742539659218,21.8257940080431,22.4025365477023
69,Yunnan,0.257927082796396,0.594944793491873,21.7039685816992,22.2989133751911
70,Guangxi,0.181346075336923,0.370652190399962,21.2500002951849,21.6206524855849
71,Guangxi,0.191974107769952,0.395910991315926,21.6595240925986,22.0554350839145
72,Guangxi,0.200933253707516,0.41559700360374,22.1289685945662,22.54456559817
73,Guangxi,0.200944257923841,0.417632918426964,22.1888891855876,22.6065221040145
74,Guangxi,0.188153258634858,0.371825353617169,22.0365083141932,22.4083336678104
75,Guangxi,0.192742648436722,0.384627353083776,21.8559526943025,22.2405800473863
76,Guangxi,0.194993426729619,0.375776421538376,21.6285717563024,22.0043481778407
77,Guangxi,0.25707073770807,0.571152563503151,21.090079655723,21.6612322192261
78,Guangxi,0.190974975082504,0.336697772422934,21.4904764833904,21.8271742558134
79,Guangdong,0.216458058325825,0.395514163253555,21.4432542740353,21.8387684372888
80,Guangdong,0.259409271419494,0.522049611152823,22.121428955169,22.6434785663218
81,Guangdong,0.263285017348613,0.531504424709222,22.1043654964084,22.6358699211176
82,Guangdong,0.24285243193099,0.458454137674444,22.3861114335439,22.8445655712183
83,Guangdong,0.251855479869917,0.511283593148185,22.7619051706223,23.2731887637705
84,Yunnan,0.247837037960582,0.593961266503815,18.6527781486511,19.2467394151549
85,Yunnan,0.259398322174514,0.641735655756307,17.8408733398195,18.4826089955758
86,Yunnan,0.265228375668163,0.647653572636688,19.0853178122687,19.7329713849054
87,Yunnan,0.281005685351426,0.699948144502034,19.4714289960407,20.1713771405427
88,Yunnan,0.266018870529188,0.637732927350033,18.6452383995056,19.2829713268557
89,Yunnan,0.251043059085615,0.599741253875877,18.7571431530847,19.3568844069605
90,Yunnan,0.266666672760633,0.617098027381342,18.0908733208974,18.7079713482788
91,Yunnan,0.266161649123482,0.629416932065862,18.932539981509,19.5619569135749
92,Yunnan,0.257345199270839,0.599810244545104,18.2480161568475,18.8478264013926
93,Yunnan,0.256884076430915,0.595773017266602,16.8527780846944,17.448551101961
94,Yunnan,0.252832693544771,0.581815114261531,18.059127258876,18.6409423731375
95,Yunnan,0.263296029627402,0.609040776806253,19.1626987268054,19.7717395036117
96,Yunnan,0.263296029627402,0.609040776806253,19.1626987268054,19.7717395036117
97,Yunnan,0.2608037058282,0.627087680367126,18.8551590139904,19.4822466943575
98,Guangxi,0.250603841908101,0.582349807167969,19.5654765499963,20.1478263571642
99,Guangxi,0.205149319489169,0.439561762095654,19.2075399822659,19.6471017443616
100,Guangxi,0.242929315902079,0.502915864158609,20.4873019286564,20.9902177928151
101,Guangxi,0.195685115361035,0.399896507677834,21.1345241069794,21.5344206146572
102,Guangxi,0.204468588479318,0.419116626861921,21.9134924184708,22.3326090453328
103,Guangxi,0.199011840472684,0.40314008204011,21.7138892393264,22.1170293213665
104,Guangxi,0.194707971107137,0.388716423898174,21.3214288249848,21.710145248883
105,Guangxi,0.199462019878885,0.400914469614285,21.4436511085147,21.844565578129
106,Guangxi,0.214371997115377,0.47486201494295,21.768254249815,22.2431162647579
107,Guangxi,0.180621419604221,0.313957843721283,21.8353178046999,22.1492756484211
108,Guangxi,0.187384725716431,0.331383749564989,21.9182542619251,22.2496380114901
109,Guangxi,0.198715407857781,0.363492050361756,21.8948415877327,22.2583336380945
110,Guangdong,0.261879668405404,0.528985510043565,21.6500003413548,22.1789858513984
111,Guangdong,0.26572243540131,0.549861983318341,21.6265876368871,22.1764496202054
112,Guangdong,0.244609142951815,0.468409260689931,22.1757940186395,22.6442032793294
113,Guangdong,0.251559062961113,0.484437547773222,22.2789686218141,22.7634061695873
114,Guangdong,0.189350024094747,0.376224990381385,22.73174640489,23.1079713952714
115,Guangdong,0.200680735554148,0.387163596946341,22.5559527154953,22.9431163124416
116,Guangdong,0.2042051000348,0.388802651786406,22.4579368545896,22.846739506376
117,Guangdong,0.20750988205117,0.392908866854679,22.3107146422068,22.7036235090615
118,Yunnan,0.265404087752692,0.637336239640348,18.162301865835,18.7996381054754
119,Yunnan,0.27648220263294,0.68093510427666,17.2150796897828,17.8960147940594
120,Yunnan,0.274121681430333,0.668495581674936,17.9289685582358,18.5974641399107
121,Yunnan,0.274956108971966,0.651138748276885,18.0119050305987,18.6630437788756
122,Yunnan,0.28040186354713,0.660869616488085,18.408333649711,19.0692032661991
123,Yunnan,0.261912592576687,0.615907498110239,18.8837305099245,19.4996380080348
124,Yunnan,0.276383412947089,0.649292635210141,18.2789685688322,18.9282612040423
125,Yunnan,0.267742636227848,0.637888190826931,17.5059527026282,18.1438408934552
126,Yunnan,0.269707957013531,0.639389220396346,18.0678574736156,18.707246694012
127,Yunnan,0.262999600153719,0.621376925785018,16.9750002603682,17.5963771861532
128,Yunnan,0.261319711850198,0.614648018564502,17.0690479335331,17.6836959520976
129,Yunnan,0.258882329450346,0.60897177075254,17.3051590068,17.9141307775525
130,Yunnan,0.258882329450346,0.60897177075254,17.3051590068,17.9141307775525
131,Yunnan,0.25106501144749,0.589406490079117,17.7051590113413,18.2945655014204
